LEVEL1,LEVEL2,TOOLTIP,SOURCE,SOURCE URL,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,LEVEL
Academic Affairs and Student Affairs Division,College of Liberal Arts & Sciences,,,,0 ,0 ,"48,501,169 ","50,847,484 ","53,963,852 ","58,223,633 ","62,114,312 ","64,850,223 ","67,220,285 ","70,374,756 ","72,844,047 ","75,136,796 ","77,371,276 ",2
Academic Affairs and Student Affairs Division,"Pre CLAS & split: A&H, S&Math, SS, Social Work, Van Andel Trade Center",,,,"56,932,752 ","61,007,745 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2
Academic Affairs and Student Affairs Division,Seidman College of Business,,,,"10,846,123 ","11,166,666 ","11,771,710 ","12,247,818 ","12,869,369 ","14,582,834 ","15,375,652 ","15,970,458 ","16,564,101 ","17,378,287 ","17,970,705 ","18,503,624 ","19,243,751 ",2
Academic Affairs and Student Affairs Division,College of Education,,,,"9,420,774 ","9,796,564 ","10,040,663 ","10,777,456 ","8,900,630 ","9,673,022 ","10,343,237 ","10,616,537 ","10,919,580 ","11,236,352 ","11,201,651 ","11,477,104 ","11,368,007 ",2
Academic Affairs and Student Affairs Division,College of Community & Public Services,,,,0 ,0 ,"7,257,191 ","7,528,372 ","8,114,159 ","8,267,088 ","8,909,222 ","9,253,728 ","9,805,519 ","10,479,499 ","10,833,510 ","11,078,396 ","11,853,040 ",2
Academic Affairs and Student Affairs Division,College of Engineering & Computing,,,,0 ,0,"5,391,242 ","6,154,648 ","6,621,292 ","7,102,174 ","7,728,807 ","8,109,637 ","8,305,634 ","9,189,957 ","9,603,635 ","10,418,390 ","11,360,632 ",2
Academic Affairs and Student Affairs Division,Kirkhof College of Nursing,,,,"4,502,278 ","4,755,826 ","4,781,479 ","5,469,783 ","5,350,540 ","5,636,266 ","5,932,615 ","6,344,941 ","6,794,859 ","7,189,184 ","7,381,025 ","7,687,802 ","7,827,434 ",2
Academic Affairs and Student Affairs Division,College of Health Professions,,,,0 ,0,"3,123,761 ","4,266,878 ","4,408,560 ","4,733,229 ","5,302,248 ","5,607,804 ","6,777,048 ","7,688,797 ","8,000,454 ","10,679,743 ","11,900,627 ",2
Academic Affairs and Student Affairs Division,Brooks College of Interdisciplinary Studies (Padnos International to Barbara Padnos to College of Interdisciplinary Studies 2004),,,,"3,850,829 ","3,963,828 ","6,049,138 ","7,794,501 ","8,519,685 ","9,215,949 ","10,539,151 ","10,955,276 ","11,750,302 ","10,917,711 ","11,718,583 ","12,230,235 ","12,586,222 ",2
Academic Affairs and Student Affairs Division,Advising Resources and Special Programs / Student Academic Success Ctr,,,,"1,583,338 ","1,950,338 ","1,376,492 ","1,691,440 ","1,709,160 ","1,491,234 ","1,823,894 ","2,061,134 ","1,422,156 ","1,462,303 ","1,492,358 ","1,549,247 ","1,619,760 ",2
Academic Affairs and Student Affairs Division,Information Technology,,,,"8,301,225 ","9,038,865 ","9,794,016 ","11,701,068 ","12,721,362 ","11,506,480 ","11,661,216 ","12,150,180 ","12,455,650 ","12,718,357 ","13,035,290 ","13,644,446 ","13,830,401 ",2
Academic Affairs and Student Affairs Division,University Libraries,,,,"5,831,996 ","6,504,255 ","7,022,962 ","7,654,397 ","8,464,864 ","9,191,292 ","9,427,948 ","9,827,034 ","10,194,948 ","10,178,684 ","10,759,434 ","10,995,194 ","11,304,509 ",2
